Close Price,High Price,Low Price,Open Price,Date
429.792,438.14,426.4,427.6,2013-04-02
431.99,437.28,430.31,431.37,2013-04-03
427.72,435,425.25,433.76,2013-04-04
423.2,424.95,419.68,424.5,2013-04-05
426.21,427.5,422.49,424.85,2013-04-08
426.98,428.5,422.75,426.36,2013-04-09
435.69,437.06,426.01,428.1,2013-04-10
434.33,437.99,431.2,433.72,2013-04-11
429.8,434.15,429.09,434.15,2013-04-12
419.85,427.89,419.55,427,2013-04-15
426.24,426.61,420.57,421.57,2013-04-16
402.8,420.6,398.11,420.27,2013-04-17
392.05,405.79,389.742,404.99,2013-04-18
390.53,399.6,385.1,387.97,2013-04-19
398.67,402.2,391.275,392.64,2013-04-22
406.13,408.381,398.81,403.99,2013-04-23
405.462,415.25,392.5,393.54,2013-04-24
408.38,413.94,407,411.225,2013-04-25
417.205,418.769,408.25,409.81,2013-04-26
430.12,433.617,420,420.45,2013-04-29
442.78,445.25,432.07,435.1,2013-04-30
439.29,444.93,434.39,444.46,2013-05-01
445.52,448.59,440.63,441.78,2013-05-02
449.98,453.23,449.15,451.31,2013-05-03
460.71,462.2,454.31,455.71,2013-05-06
458.658,465.75,453.7,464.97,2013-05-07
463.84,465.37,455.81,459.04,2013-05-08
456.77,463,455.58,459.81,2013-05-09
452.97,459.71,450.48,457.97,2013-05-10
454.74,457.9,451.5,451.51,2013-05-13
443.86,455.2,442.15,453.85,2013-05-14
428.85,441,422.36,439.16,2013-05-15
434.578,437.85,418.9,423.24,2013-05-16
433.26,440.09,431.01,439.05,2013-05-17
442.93,445.8,430.1,431.91,2013-05-20
439.66,445.48,434.2,438.15,2013-05-21
441.354,448.35,438.22,444.05,2013-05-22
442.14,446.16,435.79,435.95,2013-05-23
445.15,445.66,440.36,440.85,2013-05-24
441.439,451.11,440.85,449.9,2013-05-28
444.95,447.5,439.4,440,2013-05-29
451.58,454.5,444.51,445.65,2013-05-30
449.735,457.1,449.5,452.5,2013-05-31
450.72,452.36,442.48,450.73,2013-06-03
449.31,454.43,447.39,453.22,2013-06-04
445.11,450.72,443.71,445.65,2013-06-05
438.46,447,434.05,445.47,2013-06-06
441.811,443.24,432.77,436.5,2013-06-07
438.89,449.079,436.8,444.73,2013-06-10
437.6,442.76,433.32,435.74,2013-06-11
432.19,441.25,431.5,439.5,2013-06-12
435.965,437.14,428.75,432.5,2013-06-13
430.05,436.29,428.5,435.4,2013-06-14
432,435.7,430.362,431.44,2013-06-17
431.77,434.9,430.21,431.56,2013-06-18
429,431.62,427.53,431.25,2013-06-19
424.97,425.97,418.07,419.3,2013-06-20
414.39,419.94,413.76,418.17,2013-06-21
402.27,408.61,401.34,407.39,2013-06-24
402.32,407.75,401.34,405.65,2013-06-25
400.97,404.75,399.84,403.7,2013-06-26
398.32,399.34,395.59,399.25,2013-06-27
390.27,393.09,388.89,391.33,2013-06-28
405.57,406.52,401.27,402.87,2013-07-01
417.37,417.74,409.51,409.96,2013-07-02
418.34,422.95,417.47,420.86,2013-07-03
419.59,423.22,419.2,420.05,2013-07-05
414.7,421,413.85,420.11,2013-07-08
415.59,416.22,410.43,413.6,2013-07-09
420.27,424.05,418.3,419.26,2013-07-10
422.69,423.96,421.38,422.95,2013-07-11
428.05,429.34,426.81,427.65,2013-07-12
427.7,428.73,424.88,425.4,2013-07-15
