date,NASDAQ Composite (index),Dow Jones Industrials (index),highlight,annotate
23/08/2001,1842.97,10229.15,,
30/08/2001,1791.68,9919.58,,
06/09/2001,1705.64,9840.84,,
13/09/2001,1695.38,9605.51,,
20/09/2001,1470.93,8376.21,,
27/09/2001,1460.71,8681.42,,
04/10/2001,1597.31,9060.88,,
11/10/2001,1701.47,9410.45,,
18/10/2001,1652.72,9163.22,,
25/10/2001,1775.47,9462.9,,
01/11/2001,1746.3,9263.9,,
08/11/2001,1827.77,9587.52,,
15/11/2001,1900.57,9872.39,,
22/11/2001,1875.05,9834.68,,
29/11/2001,1933.26,9829.42,,
06/12/2001,2054.27,10099.14,,
13/12/2001,1946.51,9766.45,,
20/12/2001,1918.54,9985.18,,
27/12/2001,1976.42,10131.31,,
03/01/2002,2044.27,10172.14,,
10/01/2002,2047.24,10067.86,,
17/01/2002,1985.82,9850.04,,
24/01/2002,1942.58,9796.07,,
31/01/2002,1934.03,9920,,
07/02/2002,1782.11,9625.44,,
14/02/2002,1843.37,10001.99,,
21/02/2002,1716.24,9834.68,,
28/02/2002,1731.49,10106.13,,
07/03/2002,1881.63,10525.37,,
14/03/2002,1854.14,10517.14,,
21/03/2002,1868.83,10479.84,,
28/03/2002,1845.35,10403.94,,
04/04/2002,1789.75,10235.17,,
11/04/2002,1725.24,10176.08,,
18/04/2002,1802.43,10205.28,,
25/04/2002,1713.7,10035.06,,
02/05/2002,1644.82,10091.87,,
09/05/2002,1650.49,10037.42,,
16/05/2002,1730.44,10289.21,,
23/05/2002,1697.63,10216.08,,
30/05/2002,1631.92,9911.69,,
06/06/2002,1554.88,9624.64,,
13/06/2002,1496.86,9502.8,,
20/06/2002,1464.75,9431.77,,
27/06/2002,1459.2,9269.92,,
04/07/2002,1380.17,9054.97,,
11/07/2002,1374.43,8801.53,,
18/07/2002,1356.95,8409.49,,
25/07/2002,1240.08,8186.31,,
01/08/2002,1280,8506.62,,
08/08/2002,1316.52,8712.02,,
15/08/2002,1345.01,8818.14,,
22/08/2002,1422.95,9053.64,,
29/08/2002,1335.77,8670.99,,
05/09/2002,1251,8283.7,,
12/09/2002,1279.68,8379.41,,
19/09/2002,1216.45,7942.39,,
26/09/2002,1221.61,7997.12,,
03/10/2002,1165.56,7717.19,,
10/10/2002,1163.37,7533.95,,
17/10/2002,1272.29,8275.04,,
24/10/2002,1298.71,8317.34,,
31/10/2002,1329.75,8397.03,,
07/11/2002,1376.71,8586.24,,
14/11/2002,1411.52,8542.13,,
21/11/2002,1467.55,8845.15,,
28/11/2002,1487.94,8931.68,,
05/12/2002,1410.75,8623.28,,
12/12/2002,1399.55,8538.4,,
19/12/2002,1354.1,8364.8,,
26/12/2002,1367.89,8432.61,,
02/01/2003,1384.85,8607.52,,
09/01/2003,1438.46,8776.18,,
16/01/2003,1423.75,8697.87,,
23/01/2003,1388.27,8369.47,,
30/01/2003,1322.35,7945.13,,
06/02/2003,1301.73,7929.3,,
13/02/2003,1277.44,7749.87,,
20/02/2003,1331.23,7914.96,,
27/02/2003,1323.94,7884.99,,
06/03/2003,1302.89,7673.99,,
13/03/2003,1340.77,7821.75,,
20/03/2003,1402.77,8286.6,,
27/03/2003,1384.25,8201.45,,
03/04/2003,1396.58,8240.38,,
10/04/2003,1365.61,8221.33,,
17/04/2003,1425.5,8337.65,,
24/04/2003,1457.23,8440.04,,
01/05/2003,1472.56,8454.25,,
08/05/2003,1489.69,8491.22,,
15/05/2003,1551.38,8713.14,,
22/05/2003,1507.55,8594.02,,
29/05/2003,1574.95,8711.18,,
05/06/2003,1646.01,9041.3,,
12/06/2003,1653.62,9196.55,,
19/06/2003,1648.64,9179.53,,
26/06/2003,1634.01,9079.04,,
03/07/2003,1663.46,9070.21,,
10/07/2003,1715.86,9036.04,,
17/07/2003,1698.02,9050.82,,
24/07/2003,1701.42,9112.51,,
31/07/2003,1735.02,9233.8,,
07/08/2003,1652.18,9126.45,,
14/08/2003,1700.34,9310.56,,
21/08/2003,1777.55,9423.68,,
28/08/2003,1800.18,9374.21,,
04/09/2003,1868.97,9587.9,,
11/09/2003,1846.09,9459.76,,
18/09/2003,1909.55,9659.13,,
25/09/2003,1817.24,9343.96,,
02/10/2003,1836.22,9487.8,,
09/10/2003,1911.9,9680.01,,
16/10/2003,1950.14,9791.72,,
23/10/2003,1885.51,9613.13,,
30/10/2003,1932.69,9786.61,,
06/11/2003,1976.37,9856.97,,
13/11/2003,1967.35,9837.94,,
20/11/2003,1881.92,9619.42,,
27/11/2003,1953.31,9779.57,,
04/12/2003,1968.8,9930.82,,
11/12/2003,1942.32,10008.16,,
18/12/2003,1956.18,10248.08,,
25/12/2003,1969.23,10305.19,,
01/01/2004,2003.37,10453.92,,
08/01/2004,2100.25,10592.44,,
15/01/2004,2109.08,10553.85,,
22/01/2004,2119.01,10623.18,,
29/01/2004,2068.23,10510.29,,
05/02/2004,2019.56,10495.55,,
12/02/2004,2073.61,10694.07,,
19/02/2004,2045.96,10664.73,,
26/02/2004,2032.57,10580.14,,
04/03/2004,2055.11,10588,,
11/03/2004,1943.89,10128.38,,
18/03/2004,1962.44,10295.78,,
25/03/2004,1967.17,10218.82,,
01/04/2004,2015.01,10373.33,,
08/04/2004,2052.88,10442.03,,
15/04/2004,2002.17,10397.46,,
22/04/2004,2032.91,10461.2,,
29/04/2004,1958.78,10272.27,,
06/05/2004,1937.74,10241.26,,
13/05/2004,1926.03,10010.74,,
20/05/2004,1896.59,9937.64,,
27/05/2004,1984.5,10205.2,,
03/06/2004,1960.26,10195.91,,
10/06/2004,1999.87,10410.1,,
17/06/2004,1983.67,10377.52,,
24/06/2004,2015.57,10443.81,,
01/07/2004,2015.55,10334.16,,
08/07/2004,1935.32,10171.56,,
15/07/2004,1912.71,10163.16,,
22/07/2004,1889.06,10050.33,,
29/07/2004,1881.06,10129.24,,
05/08/2004,1821.63,9963.03,,
12/08/2004,1752.49,9814.59,,
19/08/2004,1819.89,10040.82,,
26/08/2004,1852.92,10173.41,,
02/09/2004,1873.43,10290.28,,
09/09/2004,1869.65,10289.1,,
16/09/2004,1904.08,10244.49,,
23/09/2004,1886.43,10038.9,,
30/09/2004,1896.84,10080.27,,
07/10/2004,1948.52,10125.4,,
14/10/2004,1903.02,9894.45,,
21/10/2004,1953.62,9865.76,,
28/10/2004,1975.74,10004.54,,
04/11/2004,2023.63,10314.76,,
11/11/2004,2061.27,10469.84,,
18/11/2004,2104.28,10572.55,,
25/11/2004,2102.54,10520.31,,
02/12/2004,2143.57,10585.12,,
09/12/2004,2129.01,10552.82,,
16/12/2004,2146.15,10705.64,,
23/12/2004,2160.62,10827.12,,
30/12/2004,2178.34,10800.3,,
06/01/2005,2090,10622.88,,
13/01/2005,2070.56,10505.83,,
20/01/2005,2045.88,10471.47,,
27/01/2005,2047.15,10467.4,,
03/02/2005,2057.64,10593.1,,
10/02/2005,2053.1,10749.61,,
17/02/2005,2061.34,10754.26,,
24/02/2005,2051.7,10748.79,,
03/03/2005,2058.4,10833.03,,
10/03/2005,2059.72,10851.51,,
17/03/2005,2016.42,10626.35,,
24/03/2005,1991.06,10442.87,,
31/03/2005,1999.23,10503.76,,
07/04/2005,2018.79,10546.32,,
14/04/2005,1946.71,10278.75,,
21/04/2005,1962.41,10218.6,,
28/04/2005,1904.18,10070.37,,
05/05/2005,1961.8,10340.38,,
12/05/2005,1963.88,10189.48,,
19/05/2005,2042.58,10493.19,,
26/05/2005,2071.24,10537.6,,
02/06/2005,2097.8,10553.49,,
09/06/2005,2076.91,10503.02,,
16/06/2005,2089.15,10578.65,,
23/06/2005,2070.66,10421.44,,
30/06/2005,2056.96,10274.97,,
07/07/2005,2075.66,10302.29,,
14/07/2005,2152.82,10628.89,,
21/07/2005,2178.6,10627.77,,
28/07/2005,2198.44,10705.55,,
04/08/2005,2191.32,10610.1,,
11/08/2005,2174.55,10685.89,,
18/08/2005,2136.08,10554.93,,
25/08/2005,2134.37,10450.63,,
01/09/2005,2147.9,10459.63,,
08/09/2005,2166.03,10595.93,,
15/09/2005,2146.15,10558.75,,
22/09/2005,2110.78,10422.05,,
29/09/2005,2141.22,10552.78,,
06/10/2005,2084.08,10287.1,,
13/10/2005,2047.22,10216.59,,
20/10/2005,2068.11,10281.1,,
27/10/2005,2063.81,10229.95,,
03/11/2005,2160.22,10522.59,,
10/11/2005,2196.68,10640.1,,
17/11/2005,2220.46,10720.22,,
24/11/2005,2259.98,10916.09,,
01/12/2005,2267.17,10912.57,,
08/12/2005,2246.46,10755.12,,
15/12/2005,2260.63,10881.67,,
22/12/2005,2246.49,10889.44,,
29/12/2005,2218.16,10784.82,,
